iters,fevals,fitness,time
0,3000,0.05028776173382916,0.002419599999999633
1,6000,0.05442401130283829,0.004828099999997448
2,9000,0.06005238006549357,0.007501199999996544
3,12000,0.06438832834790655,0.010410899999996559
4,15000,0.0667255811038051,0.013309999999997046
5,18000,0.06848984215402887,0.016109599999996504
6,21000,0.07029409294223984,0.018865699999995655
7,24000,0.07184656725801407,0.021617099999996725
8,27000,0.07245941595563864,0.024482399999996574
9,30000,0.0752114855135164,0.027284499999993272
10,33000,0.07628783858527752,0.03006699999999185
11,36000,0.07664927973758039,0.032912399999993625
12,39000,0.07670304138388073,0.03570029999999491
13,42000,0.07670304138388073,0.03865719999999584
14,45000,0.07674412428911971,0.04334499999999508
15,48000,0.07680888639513615,0.046766699999992056
16,51000,0.07680888639513615,0.04962779999999256
17,54000,0.07682984613692695,0.0524393999999937
18,57000,0.07682984613692695,0.05536149999999296
19,60000,0.07699279262182769,0.05814779999998976
20,63000,0.07699279262182769,0.060940499999990294
21,66000,0.07703174273107305,0.06373249999998976
22,69000,0.07703174273107305,0.06657369999999219
23,72000,0.07703174273107305,0.06945909999999245
24,75000,0.07703174273107305,0.07226369999999349
25,78000,0.07703174273107305,0.07507679999999439
26,81000,0.07703174273107305,0.07859109999999347
27,84000,0.07703174273107305,0.08308219999999267
28,87000,0.07703174273107305,0.08669489999999058
29,90000,0.07703174273107305,0.08947479999999075
30,93000,0.07703174273107305,0.09226339999998956
31,96000,0.07703174273107305,0.0950484999999901
32,99000,0.07703174273107305,0.09782059999999149
33,102000,0.07703174273107305,0.10376979999999136
34,105000,0.07703174273107305,0.10870369999999241
35,108000,0.07703174273107305,0.11362549999999416
36,111000,0.07703174273107305,0.1174538999999939
37,114000,0.07703174273107305,0.12026009999999232
38,117000,0.07703174273107305,0.12306259999999014
39,120000,0.07703174273107305,0.12584219999999036
40,123000,0.07703174273107305,0.1286247999999901
41,126000,0.07703174273107305,0.13151079999999027
42,129000,0.07703174273107305,0.13428019999998853
43,132000,0.07703174273107305,0.13706219999998837
44,135000,0.07703174273107305,0.13985129999998946
45,138000,0.07703174273107305,0.14279359999998675
46,141000,0.07703174273107305,0.14557049999998384
47,144000,0.07703174273107305,0.14954739999998523
48,147000,0.07703174273107305,0.15471549999998757
49,150000,0.07703174273107305,0.15961859999999106
50,153000,0.07703174273107305,0.1637258999999922
51,156000,0.07703174273107305,0.16648899999999145
52,159000,0.07703174273107305,0.16924469999998948
53,162000,0.07703174273107305,0.17200899999999208
54,165000,0.07703174273107305,0.17494449999999517
55,168000,0.07703174273107305,0.17795599999999823
56,171000,0.07703174273107305,0.18243329999999602
57,174000,0.07703174273107305,0.18693859999999773
58,177000,0.07703174273107305,0.19142449999999656
59,180000,0.07703174273107305,0.19492609999999644
60,183000,0.07703174273107305,0.19779579999999441
61,186000,0.07703174273107305,0.20057479999999472
62,189000,0.07703174273107305,0.20335209999999648
63,192000,0.07703174273107305,0.20633799999999525
64,195000,0.07703174273107305,0.2094945999999922
65,198000,0.07703174273107305,0.21397289999999458
66,201000,0.07703174273107305,0.21845459999999406
67,204000,0.07703174273107305,0.2226137999999942
68,207000,0.07703174273107305,0.22545769999999266
69,210000,0.07703174273107305,0.22823819999998918
70,213000,0.07703174273107305,0.23172469999999024
71,216000,0.07703174273107305,0.23451809999999185
72,219000,0.07703174273107305,0.23729489999999132
73,222000,0.07703174273107305,0.24023139999999188
74,225000,0.07703174273107305,0.24313019999998886
75,228000,0.07703174273107305,0.24599929999999048
76,231000,0.07703174273107305,0.2488463999999908
77,234000,0.07703174273107305,0.25163659999999055
78,237000,0.07703174273107305,0.2544583999999901
79,240000,0.07703174273107305,0.2589457999999887
80,243000,0.07703174273107305,0.26367239999999015
81,246000,0.07703174273107305,0.26842279999999263
82,249000,0.07703174273107305,0.2721048999999951
83,252000,0.07703174273107305,0.27506419999999565
84,255000,0.07703174273107305,0.27782949999999573
85,258000,0.07703174273107305,0.28060709999999744
86,261000,0.07703174273107305,0.2833946999999952
87,264000,0.07703174273107305,0.286501599999994
88,267000,0.07703174273107305,0.2893819999999927
89,270000,0.07703174273107305,0.29216699999999207
90,273000,0.07703174273107305,0.29494259999999173
91,276000,0.07703174273107305,0.29772099999999213
92,279000,0.07703174273107305,0.300510299999992
93,282000,0.07703174273107305,0.30338849999998985
94,285000,0.07703174273107305,0.3062343999999868
95,288000,0.07703174273107305,0.30902009999998725
96,291000,0.07703174273107305,0.31179539999998696
97,294000,0.07703174273107305,0.3145720999999888
98,297000,0.07703174273107305,0.3174192999999903
99,300000,0.07703174273107305,0.32019819999998944
100,303000,0.07703174273107305,0.3229696999999909
101,306000,0.07703174273107305,0.3257414999999888
102,309000,0.07703174273107305,0.32852299999998635
103,312000,0.07703174273107305,0.3314703999999864
104,315000,0.07703174273107305,0.3356683999999852
105,318000,0.07703174273107305,0.3405635999999852
106,321000,0.07703174273107305,0.3454706999999857
107,324000,0.07703174273107305,0.34936459999998704
108,327000,0.07703174273107305,0.35295109999998786
109,330000,0.07703174273107305,0.35611019999998916
110,333000,0.07703174273107305,0.3588917999999879
111,336000,0.07703174273107305,0.3616883999999878
112,339000,0.07703174273107305,0.36471289999998646
113,342000,0.07703174273107305,0.36748889999998724
114,345000,0.07703174273107305,0.37027939999998694
115,348000,0.07703174273107305,0.37305789999998495
116,351000,0.07703174273107305,0.3758417999999857
117,354000,0.07703174273107305,0.3786176999999853
118,357000,0.07703174273107305,0.3814692999999849
119,360000,0.07703174273107305,0.38423909999998784
120,363000,0.07703174273107305,0.3870218999999864
