iters,fevals,fitness,time
0,60000,53.0,26.9390371
1,120200,73.0,48.28489809999999
2,180400,87.0,73.4402833
3,240600,90.0,97.8525881
4,300800,96.0,120.9191237
5,361000,95.0,147.16303010000001
6,421200,99.0,169.0744036
7,481400,107.0,193.99434290000002
8,541600,102.0,219.08015890000001
9,601800,113.0,241.3130685
10,662000,107.0,266.81604780000004
11,722200,115.0,288.92485630000004
12,782400,121.0,312.5289612000001
13,842600,122.0,337.0058688000001
14,902800,128.0,358.4433513000001
15,963000,133.0,383.81653080000007
16,1023200,131.0,405.5968762000001
17,1083400,131.0,427.7735791000001
18,1143600,133.0,453.1909511000001
19,1203800,135.0,475.0687226000001
20,1264000,139.0,499.03670040000014
21,1324200,147.0,521.8439254000001
22,1384400,153.0,543.4948988000001
23,1444600,153.0,568.8444841000002
24,1504800,153.0,590.5844715000002
25,1565000,166.0,613.3422340000002
26,1625200,166.0,637.5738931000002
27,1685400,166.0,660.8405272000002
28,1745600,172.0,686.7169888000002
29,1805800,172.0,708.9639063000002
30,1866000,175.0,732.1763937000002
31,1926200,175.0,756.1651081000001
32,1986400,183.0,777.2128652000001
33,2046600,182.0,801.2720768000001
34,2106800,182.0,826.1451539000002
35,2167000,182.0,851.6731702000002
36,2227200,183.0,875.2530175000002
37,2287400,183.0,896.3303232000002
38,2347600,185.0,917.6892064000001
39,2407800,192.0,938.6684541000001
40,2468000,191.0,959.8277093
41,2528200,191.0,984.4346926
42,2588400,191.0,1005.6769565999999
43,2648600,192.0,1027.19759
44,2708800,191.0,1052.3988396
45,2769000,191.0,1073.2952939
46,2829200,191.0,1096.1985986999998
47,2889400,192.0,1119.1837313999997
48,2949600,192.0,1139.8054650999998
49,3009800,195.0,1164.5324046999997
50,3070000,195.0,1186.4950989999998
51,3130200,198.0,1207.8887584
52,3190400,201.0,1232.0629270999998
53,3250600,208.0,1253.7683498
54,3310800,201.0,1276.5763795999999
55,3371000,209.0,1299.4451356
56,3431200,209.0,1320.3507686
57,3491400,209.0,1345.5194759
58,3551600,209.0,1366.3319424000001
59,3611800,215.0,1388.0697949
60,3672000,213.0,1413.0287461
61,3732200,215.0,1434.5550145
62,3792400,215.0,1457.6212725
63,3852600,219.0,1480.4239505
64,3912800,219.0,1502.1152179
65,3973000,224.0,1527.8913163
66,4033200,229.0,1549.3889273
67,4093400,228.0,1572.2544805999999
68,4153600,228.0,1601.0452323999998
69,4213800,228.0,1623.4288404999998
70,4274000,230.0,1650.8868055999997
71,4334200,230.0,1677.9244849999995
72,4394400,233.0,1703.4748192999996
73,4454600,233.0,1727.4684064999997
74,4514800,234.0,1750.2117395999996
75,4575000,234.0,1771.6416914999995
76,4635200,234.0,1795.3615714999996
77,4695400,237.0,1819.5352952999997
78,4755600,242.0,1846.1689159999996
79,4815800,240.0,1869.6535961999996
80,4876000,242.0,1899.0873634999996
81,4936200,242.0,1924.7070826999995
82,4996400,241.0,1953.3006768999994
83,5056600,240.0,1975.2841965999994
84,5116800,244.0,2003.4121462999992
85,5177000,244.0,2027.9944650999992
86,5237200,246.0,2051.5963262999994
87,5297400,244.0,2077.8342916999995
88,5357600,246.0,2100.6324519999994
89,5417800,246.0,2126.7694762999995
90,5478000,246.0,2149.7258024999996
91,5538200,248.0,2173.4778444
92,5598400,248.0,2201.9805058
93,5658600,251.0,2225.7153879
94,5718800,251.0,2252.7076521000004
95,5779000,251.0,2275.5395624000002
96,5839200,253.0,2304.5071869000003
97,5899400,253.0,2329.8836004
98,5959600,255.0,2356.5134836
99,6019800,257.0,2385.5466483
100,6080000,257.0,2411.2876098
101,6140200,257.0,2442.1461698000003
102,6200400,258.0,2469.0111124
103,6260600,260.0,2500.7785265
104,6320800,258.0,2522.9896448
105,6381000,260.0,2549.7094206
106,6441200,260.0,2572.5571997
107,6501400,260.0,2594.8503155000003
108,6561600,262.0,2617.2784556
109,6621800,263.0,2639.4022827000003
110,6682000,263.0,2664.6230204000003
111,6742200,263.0,2688.4214057000004
112,6802400,263.0,2712.1271297000003
113,6862600,264.0,2737.7322283000003
114,6922800,263.0,2759.5721761000004
115,6983000,263.0,2786.1208278000004
116,7043200,263.0,2810.0285683
117,7103400,267.0,2839.5226997000004
118,7163600,267.0,2865.7673813
119,7223800,269.0,2889.509328
120,7284000,267.0,2915.4320537999997
121,7344200,269.0,2937.4528331999995
122,7404400,269.0,2962.9207931999995
123,7464600,268.0,2987.0799916999995
124,7524800,275.0,3010.3981923999995
125,7585000,277.0,3036.3647538999994
126,7645200,277.0,3057.8991535999994
127,7705400,282.0,3082.6737789999993
128,7765600,282.0,3107.672553499999
129,7825800,282.0,3130.6353697999994
130,7886000,283.0,3156.674682199999
131,7946200,282.0,3178.4029835999995
132,8006400,283.0,3203.1979239999996
133,8066600,283.0,3226.3273463999994
134,8126800,285.0,3248.8190682999993
135,8187000,283.0,3275.4229139999993
136,8247200,283.0,3297.2341655999994
137,8307400,283.0,3322.4910072999996
138,8367600,286.0,3346.2331510999998
139,8427800,287.0,3369.1017186
140,8488000,286.0,3395.1630212
141,8548200,286.0,3416.8535282999997
142,8608400,286.0,3439.0871227999996
143,8668600,287.0,3460.596106499999
144,8728800,293.0,3482.082194299999
145,8789000,293.0,3508.632848999999
146,8849200,293.0,3531.016318799999
147,8909400,293.0,3554.2819467999993
148,8969600,293.0,3578.7666851999993
149,9029800,293.0,3600.885284199999
150,9090000,293.0,3626.0383552999992
