iters,fevals,fitness,time
0,30000,8.0,37.37368140000035
1,60100,8.0,77.10776690000057
2,90200,7.0,115.43117920000077
3,120300,10.0,150.54690090000076
4,150400,10.0,185.78762760000154
5,180500,17.0,221.44992240000101
6,210600,11.0,254.4672124000008
7,240700,20.0,291.03403550000075
8,270800,24.0,324.3084004000002
9,300900,27.0,360.9242009999998
10,331000,28.0,395.3441484999994
11,361100,28.0,429.47496499999943
12,391200,29.0,466.8648343999994
13,421300,29.0,500.60547099999894
14,451400,37.0,533.7956900999989
15,481500,37.0,566.9802179999988
16,511600,44.0,603.3913401999989
17,541700,43.0,637.483008199999
18,571800,43.0,669.7918348999992
19,601900,48.0,706.0676318999995
20,632000,59.0,739.2579084999998
21,662100,50.0,775.8486178999992
22,692200,50.0,810.2880005999996
23,722300,50.0,845.2407960999999
24,752400,51.0,881.1650973999995
25,782500,57.0,912.4626945999998
26,812600,58.0,947.5752276000003
27,842700,58.0,979.1533407000006
28,872800,61.0,1015.6240067000008
29,902900,64.0,1046.8745400000007
30,933000,62.0,1082.2507232999997
31,963100,59.0,1116.5569465999997
32,993200,67.0,1150.4303591999997
33,1023300,64.0,1184.2229537999992
34,1053400,62.0,1215.2722341999997
35,1083500,62.0,1249.6428929000012
36,1113600,68.0,1279.9103137000002
37,1143700,69.0,1317.0669491000008
38,1173800,72.0,1351.4807175999995
39,1203900,73.0,1384.5907257
40,1234000,73.0,1419.4453235
41,1264100,75.0,1452.5394865000017
42,1294200,72.0,1487.2482664000017
43,1324300,72.0,1522.2894710000019
44,1354400,73.0,1559.4698971000016
45,1384500,72.0,1590.9670880000012
46,1414600,73.0,1626.1524600000012
47,1444700,72.0,1660.8536710000008
48,1474800,72.0,1690.7482584999998
49,1504900,73.0,1725.1767235000007
50,1535000,75.0,1757.1144500999999
51,1565100,76.0,1793.6014393000005
52,1595200,76.0,1825.4023488000003
53,1625300,76.0,1860.5623792999995
54,1655400,79.0,1896.0264997999984
55,1685500,79.0,1931.5234718999982
56,1715600,77.0,1965.4670596999986
57,1745700,80.0,2001.9340373999985
58,1775800,80.0,2035.9110905999987
59,1805900,80.0,2067.5473286999986
60,1836000,82.0,2102.035964999999
61,1866100,81.0,2132.1298713999986
62,1896200,81.0,2165.0902075999984
63,1926300,82.0,2197.133852899997
64,1956400,81.0,2225.4306960999966
65,1986500,81.0,2257.488439099996
66,2016600,81.0,2288.201979599997
67,2046700,83.0,2320.6695335999957
68,2076800,81.0,2359.398943399996
69,2106900,89.0,2391.9241216999962
70,2137000,87.0,2422.6862726999952
71,2167100,89.0,2453.8810614999966
72,2197200,87.0,2484.4340368999965
73,2227300,87.0,2513.624961399997
74,2257400,88.0,2545.1993890999984
75,2287500,87.0,2575.3610771999975
76,2317600,87.0,2604.9481258999986
77,2347700,88.0,2632.6129287999975
78,2377800,88.0,2664.0145613999975
79,2407900,87.0,2693.6387657999967
80,2438000,87.0,2723.9724209999968
81,2468100,87.0,2752.6781135999972
82,2498200,87.0,2783.8425870999963
83,2528300,87.0,2812.1085627999964
84,2558400,87.0,2844.8438420999973
85,2588500,87.0,2879.198626299998
86,2618600,87.0,2910.8491044999973
87,2648700,87.0,2940.7250515999967
88,2678800,87.0,2970.8321862999965
89,2708900,88.0,3001.687677099997
90,2739000,92.0,3030.2148887999956
91,2769100,90.0,3058.8793814999954
92,2799200,90.0,3089.734740399994
93,2829300,90.0,3125.0706609999943
94,2859400,90.0,3160.313891699994
95,2889500,90.0,3193.6752224999946
96,2919600,90.0,3228.372638199995
97,2949700,90.0,3263.5236943999935
98,2979800,98.0,3296.719418899993
99,3009900,92.0,3332.6312705999917
100,3040000,98.0,3370.242029599991
101,3070100,92.0,3408.7777883999897
102,3100200,92.0,3442.266203299989
103,3130300,92.0,3470.2295625999886
104,3160400,92.0,3501.114143499988
105,3190500,92.0,3530.6398463999885
106,3220600,98.0,3560.1554330999898
107,3250700,98.0,3589.31985249999
108,3280800,92.0,3617.5089617999893
109,3310900,92.0,3646.0657059999885
110,3341000,92.0,3673.937412899988
111,3371100,92.0,3703.7888128999894
112,3401200,98.0,3731.7090554999886
113,3431300,92.0,3760.6566329999896
114,3461400,92.0,3788.8723874999905
115,3491500,92.0,3818.2708917999917
116,3521600,98.0,3849.467381099992
117,3551700,97.0,3879.4842153999925
118,3581800,98.0,3909.3069630999926
119,3611900,92.0,3940.3660123999925
120,3642000,92.0,3970.201289899993
121,3672100,92.0,4005.7252337999926
122,3702200,92.0,4039.307154999993
123,3732300,95.0,4071.040477699993
124,3762400,95.0,4104.050923799994
125,3792500,95.0,4135.264671499994
126,3822600,92.0,4165.535990899994
127,3852700,92.0,4193.693284199995
128,3882800,95.0,4222.944976099994
129,3912900,92.0,4251.076438999993
130,3943000,95.0,4279.010934999993
131,3973100,98.0,4307.673920099993
132,4003200,92.0,4342.734487099993
133,4033300,92.0,4372.534247399994
134,4063400,98.0,4405.200552599994
135,4093500,98.0,4438.688093699993
136,4123600,98.0,4468.922762099994
137,4153700,98.0,4497.642485899994
138,4183800,98.0,4527.366812299995
139,4213900,101.0,4555.923942299994
140,4244000,101.0,4586.992778399996
141,4274100,98.0,4616.396506099994
142,4304200,98.0,4645.511876099994
143,4334300,101.0,4673.7253651999945
144,4364400,98.0,4702.372709999994
145,4394500,101.0,4730.716632199996
146,4424600,98.0,4759.619427599995
147,4454700,98.0,4788.063892199996
148,4484800,102.0,4816.126996499996
149,4514900,101.0,4845.179594099995
150,4545000,102.0,4873.247601999994
151,4575100,101.0,4902.795924599994
152,4605200,101.0,4929.749191799994
153,4635300,101.0,4959.461489499994
154,4665400,101.0,4986.7618959999945
155,4695500,105.0,5018.021540699994
156,4725600,101.0,5046.087918399995
157,4755700,105.0,5076.346502499995
158,4785800,105.0,5105.408295399995
159,4815900,103.0,5137.188631799996
160,4846000,103.0,5166.860203999995
161,4876100,103.0,5199.594906599996
162,4906200,103.0,5228.1519864999955
163,4936300,106.0,5257.760181499996
164,4966400,103.0,5285.852054799996
165,4996500,105.0,5320.112926699996
166,5026600,105.0,5352.003767499997
167,5056700,103.0,5385.822400799996
168,5086800,103.0,5418.330736499996
169,5116900,103.0,5451.1987581999965
170,5147000,103.0,5484.590614999997
171,5177100,105.0,5517.6773104999975
172,5207200,109.0,5551.783369699997
173,5237300,103.0,5587.092216999998
174,5267400,103.0,5621.494255499998
175,5297500,103.0,5654.1145235999975
176,5327600,103.0,5689.794425499998
177,5357700,105.0,5731.153754799998
178,5387800,105.0,5765.030043699999
179,5417900,103.0,5801.811756899999
180,5448000,103.0,5836.400370399999
181,5478100,103.0,5871.1293845
182,5508200,105.0,5907.5216781
183,5538300,103.0,5937.080843299998
184,5568400,103.0,5967.549656099998
185,5598500,103.0,5996.522477099998
186,5628600,103.0,6030.032032099996
187,5658700,103.0,6061.630504899997
188,5688800,103.0,6094.521438499996
189,5718900,103.0,6127.832840799996
190,5749000,103.0,6160.480272599996
191,5779100,103.0,6191.429045699995
192,5809200,105.0,6225.327571299995
193,5839300,103.0,6254.723546499994
194,5869400,103.0,6285.596413199994
195,5899500,103.0,6316.140084699993
196,5929600,103.0,6346.576752699992
197,5959700,103.0,6376.283503299992
198,5989800,103.0,6407.685881399993
199,6019900,103.0,6437.520670799993
200,6050000,103.0,6468.3309865999945
201,6080100,103.0,6497.693335999995
202,6110200,103.0,6528.8097335999955
203,6140300,103.0,6559.366838099997
204,6170400,103.0,6590.024794199997
205,6200500,103.0,6621.7939395999965
206,6230600,103.0,6652.287570999995
207,6260700,103.0,6683.225069399996
208,6290800,103.0,6711.8213899999955
209,6320900,105.0,6745.049610999995
210,6351000,103.0,6772.869090599996
211,6381100,103.0,6803.797404099996
212,6411200,105.0,6832.8154720999955
213,6441300,103.0,6863.299765999995
214,6471400,103.0,6892.934129499994
215,6501500,105.0,6924.049524799993
216,6531600,103.0,6955.495430199993
217,6561700,105.0,6988.2638404999925
218,6591800,103.0,7023.014390299992
219,6621900,103.0,7055.079432199991
220,6652000,103.0,7083.967232399991
