iters,fevals,fitness,time
0,40000,797.0,100.0249776
1,80400,797.0,213.2452768
2,120800,797.0,335.13209689999996
3,161200,797.0,458.0595399
4,201600,796.0,579.1651661999999
5,242000,797.0,700.5004134
6,282400,797.0,826.7972188
7,322800,796.0,956.6103243
8,363200,796.0,1074.2913095
9,403600,796.0,1197.9029684
10,444000,797.0,1320.6033547
11,484400,796.0,1443.5627453
12,524800,797.0,1568.0403367
13,565200,797.0,1699.7271293
14,605600,796.0,1837.0960871
15,646000,796.0,1971.1153205
16,686400,796.0,2117.8623571
17,726800,797.0,2249.874539
18,767200,797.0,2394.2517774
19,807600,796.0,2546.3479991
20,848000,797.0,2685.2407399999997
21,888400,796.0,2818.4529819
22,928800,796.0,2959.8981311999996
23,969200,796.0,3093.9089308999996
24,1009600,796.0,3229.3405989999997
25,1050000,796.0,3365.4868816
26,1090400,796.0,3499.4065568
27,1130800,797.0,3625.5473392999997
28,1171200,796.0,3758.0870219999997
29,1211600,796.0,3890.1877611999994
30,1252000,796.0,4024.0984437999996
31,1292400,796.0,4157.204876
32,1332800,796.0,4289.5418702
33,1373200,796.0,4419.3023410000005
34,1413600,796.0,4551.5390736
35,1454000,797.0,4687.2318668
36,1494400,797.0,4820.893111099999
37,1534800,796.0,4961.683096499999
38,1575200,796.0,5106.799753099998
39,1615600,796.0,5243.735335299998
40,1656000,796.0,5378.758319399998
41,1696400,797.0,5514.8344493999975
42,1736800,796.0,5650.662971699997
43,1777200,797.0,5783.975294299997
44,1817600,796.0,5915.810914999997
45,1858000,796.0,6050.351860399997
46,1898400,796.0,6188.679815799997
47,1938800,797.0,6319.583725299997
48,1979200,796.0,6448.525155199997
49,2019600,796.0,6579.126560199997
50,2060000,796.0,6709.023804099997
51,2100400,796.0,6841.114871099997
52,2140800,797.0,6962.563667399997
53,2181200,796.0,7094.5294049999975
54,2221600,797.0,7222.9646595999975
55,2262000,796.0,7352.273712499998
56,2302400,797.0,7469.4772534999975
57,2342800,797.0,7593.035858799998
58,2383200,797.0,7716.183457599998
59,2423600,797.0,7835.7462215999985
60,2464000,797.0,7962.0265838999985
61,2504400,796.0,8089.469498099998
62,2544800,797.0,8216.028074099999
63,2585200,796.0,8343.1460372
64,2625600,797.0,8466.5999277
65,2666000,797.0,8586.2542583
66,2706400,797.0,8710.830608100001
67,2746800,796.0,8844.783150800002
68,2787200,797.0,8976.323692200001
69,2827600,797.0,9110.712680100001
70,2868000,797.0,9249.8328696
71,2908400,797.0,9378.8661143
72,2948800,796.0,9501.378291500001
73,2989200,796.0,9630.7886994
74,3029600,796.0,9752.933713100001
75,3070000,796.0,9873.037591100001
76,3110400,797.0,9993.9846011
77,3150800,797.0,10123.1295093
78,3191200,797.0,10241.061938
79,3231600,797.0,10372.162211600002
80,3272000,796.0,10509.460368700002
81,3312400,797.0,10647.9341077
82,3352800,796.0,10769.2569652
83,3393200,796.0,10887.142238800001
84,3433600,796.0,11004.681204
85,3474000,796.0,11129.1441817
86,3514400,796.0,11257.5465164
87,3554800,796.0,11376.7295664
88,3595200,796.0,11492.8747451
89,3635600,797.0,11619.9645611
90,3676000,796.0,11746.0078041
91,3716400,796.0,11867.297987499998
92,3756800,796.0,11984.782626699998
93,3797200,797.0,12106.532566899998
94,3837600,797.0,12224.404765899997
95,3878000,796.0,12348.832902599996
96,3918400,796.0,12476.182539799995
97,3958800,796.0,12610.559093799995
98,3999200,796.0,12749.800443799995
99,4039600,796.0,12891.736298399996
