iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.204145099,0.206834802,0.197301227,0.331291475,0.332653061,0.346938776,0.012066365,0.006079027,0.012345679,0.0081662
10,0.212999987,0.21748094,0.207547018,0.332567637,0.332653061,0.344897959,0.012089158,0.006079027,0.012307692,0.0484525
20,0.213127461,0.2183079,0.20756152,0.333078101,0.332653061,0.348979592,0.009852217,0.006079027,0.012383901,0.0659597
30,0.206631815,0.211173323,0.201739473,0.340224604,0.336734694,0.357142857,0.038676088,0.035608309,0.048338369,0.0886883
40,0.203564069,0.207805313,0.198068866,0.339458908,0.334693878,0.36122449,0.040770941,0.041176471,0.065671642,0.103932
50,0.19742309,0.200882873,0.193411301,0.349157734,0.348979592,0.367346939,0.078091106,0.085959885,0.088235294,0.1174853
60,0.187448203,0.188894554,0.183452388,0.361664114,0.363265306,0.381632653,0.115942029,0.12849162,0.12173913,0.130662
70,0.187144177,0.189257642,0.183155214,0.366258295,0.36122449,0.381632653,0.132121636,0.118309859,0.126801153,0.1442691
80,0.179125571,0.181079921,0.175745732,0.390760592,0.404081633,0.4,0.225754136,0.251282051,0.209677419,0.1578079
90,0.175045732,0.176538386,0.172118504,0.406074528,0.406122449,0.410204082,0.272585183,0.274314214,0.241469816,0.1714799
100,0.172677691,0.174010317,0.170024036,0.418580909,0.420408163,0.430612245,0.30969697,0.317307692,0.297229219,0.1842651
110,0.16026448,0.160108742,0.158472782,0.455844819,0.465306122,0.469387755,0.433882103,0.449579832,0.43231441,0.1975456
120,0.152900611,0.152266234,0.153443858,0.477794793,0.5,0.489795918,0.489520958,0.518664047,0.493927126,0.2119909
130,0.145845445,0.143374861,0.146521495,0.5158244,0.528571429,0.532653061,0.544099976,0.564971751,0.553606238,0.2257718
140,0.145180217,0.14296337,0.146110667,0.514548239,0.520408163,0.532653061,0.542788462,0.552380952,0.550098232,0.2400656
150,0.145929723,0.143297034,0.146734163,0.514803471,0.534693878,0.536734694,0.543577431,0.571428571,0.555772994,0.2550078
160,0.142993038,0.142298988,0.145183721,0.528330781,0.508163265,0.542857143,0.565380997,0.542694497,0.570881226,0.2680597
170,0.141891062,0.140238773,0.143579453,0.522970904,0.524489796,0.546938776,0.558260459,0.561205273,0.569767442,0.2813454
180,0.14041215,0.137972994,0.141919609,0.534201123,0.528571429,0.551020408,0.573099415,0.569832402,0.575289575,0.2955213
190,0.137733083,0.134221793,0.138317527,0.539561001,0.559183673,0.56122449,0.581438515,0.605839416,0.592030361,0.3089155
200,0.134711535,0.130767087,0.135475538,0.550025523,0.565306122,0.573469388,0.600498527,0.621669627,0.612244898,0.3218448
210,0.137631739,0.133672639,0.138193428,0.545686575,0.557142857,0.569387755,0.589483395,0.609009009,0.608534323,0.3349049
220,0.131831116,0.127651747,0.132576911,0.57223073,0.585714286,0.595918367,0.628216504,0.648180243,0.642599278,0.3485694
230,0.131136229,0.126182002,0.132270931,0.576569678,0.585714286,0.585714286,0.636104409,0.649395509,0.636851521,0.3620288
240,0.120334181,0.115824331,0.122660425,0.615620214,0.636734694,0.595918367,0.714448237,0.728658537,0.684713376,0.3750918
250,0.120618081,0.115635328,0.122609397,0.615620214,0.651020408,0.597959184,0.71347032,0.738931298,0.686804452,0.3884344
260,0.118274093,0.116280677,0.121431271,0.621745789,0.628571429,0.636734694,0.711673152,0.712933754,0.712903226,0.4023313
270,0.113412262,0.10876469,0.116003859,0.649310873,0.675510204,0.640816327,0.737184392,0.758725341,0.722397476,0.4158444
280,0.111495672,0.107792214,0.114274952,0.649821337,0.683673469,0.642857143,0.739460691,0.766214178,0.725274725,0.4293143
290,0.110921269,0.107406222,0.114014454,0.650331802,0.683673469,0.651020408,0.740726722,0.767616192,0.73155416,0.4419566
300,0.106141385,0.101805034,0.108152484,0.682746299,0.704081633,0.685714286,0.761649089,0.779299848,0.755555556,0.4552399
310,0.101988956,0.097989291,0.104645478,0.694486983,0.706122449,0.702040816,0.769763416,0.781155015,0.766025641,0.4684851
320,0.101003876,0.09770026,0.10567534,0.70316488,0.704081633,0.683673469,0.786566342,0.788937409,0.761171032,0.4812596
330,0.100134324,0.096607678,0.104708941,0.706993364,0.706122449,0.697959184,0.787012987,0.787610619,0.770897833,0.4938919
340,0.099179977,0.095738698,0.103790535,0.710566616,0.706122449,0.687755102,0.790774908,0.787610619,0.763523957,0.5071754
350,0.099167553,0.094674917,0.102682048,0.712608474,0.702040816,0.708163265,0.78953271,0.783382789,0.775510204,0.5206774
360,0.09857436,0.094124742,0.102237114,0.710821848,0.697959184,0.710204082,0.788816403,0.78041543,0.777429467,0.5344728
370,0.09847135,0.095296817,0.103232842,0.713629403,0.702040816,0.695918367,0.79298893,0.785294118,0.768273717,0.5536943
380,0.095484221,0.092427813,0.099870224,0.718734048,0.724489796,0.710204082,0.801798561,0.805194805,0.786786787,0.5674472
390,0.095512387,0.092653801,0.099985489,0.719244513,0.718367347,0.706122449,0.800941006,0.8,0.782477341,0.5813807
400,0.093519706,0.090516139,0.09798756,0.730985197,0.730612245,0.712244898,0.811516452,0.810344828,0.789237668,0.5947017
410,0.093183893,0.090029932,0.097472342,0.732771822,0.730612245,0.712244898,0.812399212,0.809248555,0.789237668,0.6077361
420,0.092539531,0.08911362,0.096677117,0.732771822,0.736734694,0.716326531,0.812801716,0.81492109,0.792227205,0.621483
430,0.092125551,0.089285027,0.096086568,0.735068913,0.73877551,0.724489796,0.814444047,0.816618911,0.798206278,0.6361098
440,0.090895828,0.087722857,0.093877885,0.733282287,0.746938776,0.734693878,0.815338399,0.824362606,0.809384164,0.6493941
450,0.090271292,0.086647138,0.093127824,0.742981113,0.757142857,0.73877551,0.821295475,0.832157969,0.810650888,0.6637936
460,0.089229922,0.08671791,0.092492364,0.738642164,0.73877551,0.724489796,0.817728729,0.818181818,0.79880775,0.6772971
470,0.088541526,0.085522026,0.091331316,0.742215416,0.736734694,0.742857143,0.818410644,0.815977175,0.807926829,0.690489
480,0.087710533,0.085594916,0.091221187,0.740939255,0.728571429,0.730612245,0.815286624,0.806966618,0.796923077,0.7044489
490,0.087808282,0.086033601,0.091933043,0.745788668,0.742857143,0.714285714,0.820151679,0.817919075,0.784615385,0.7179151
500,0.086835838,0.08465109,0.090273849,0.745022971,0.744897959,0.716326531,0.819446955,0.81910275,0.787136294,0.7307599
510,0.086195689,0.084733677,0.090214038,0.747575294,0.734693878,0.720408163,0.822154289,0.813218391,0.790199081,0.7451656
520,0.08580982,0.085060642,0.089986241,0.748851455,0.744897959,0.724489796,0.820895522,0.818049491,0.793261868,0.7583341
530,0.085877521,0.085618755,0.090386322,0.747064829,0.742857143,0.732653061,0.822687422,0.818965517,0.8,0.7717103
540,0.086973494,0.085897054,0.090598632,0.752424706,0.755102041,0.726530612,0.824656544,0.827089337,0.795731707,0.7849295
550,0.085170813,0.084582745,0.089011101,0.758039816,0.751020408,0.740816327,0.827636364,0.821637427,0.80431433,0.7984198
560,0.085210777,0.084660299,0.089090673,0.759315978,0.753061224,0.73877551,0.828451883,0.823357664,0.803076923,0.8120473
570,0.084653869,0.083879016,0.088202173,0.758295048,0.746938776,0.746938776,0.827095125,0.81871345,0.808641975,0.8259627
580,0.084529503,0.083864845,0.088281196,0.762123532,0.753061224,0.759183673,0.826636905,0.819672131,0.815047022,0.8400044
590,0.084584858,0.0834575,0.088421509,0.756763655,0.763265306,0.759183673,0.824655014,0.828908555,0.815047022,0.8549943
600,0.084345669,0.084196345,0.088315591,0.758039816,0.755102041,0.755102041,0.825735294,0.822485207,0.813664596,0.8702067
610,0.084865607,0.08433482,0.088239567,0.7539561,0.751020408,0.748979592,0.824023366,0.821637427,0.809302326,0.8854529
620,0.084078594,0.083727453,0.088136166,0.75957121,0.759183673,0.748979592,0.826006649,0.825443787,0.809302326,0.9007851
630,0.083296809,0.083725621,0.087732043,0.754466565,0.759183673,0.742857143,0.829008176,0.831908832,0.811940299,0.9222543
640,0.083231568,0.083777372,0.08764576,0.758550281,0.755102041,0.753061224,0.827874818,0.823529412,0.815267176,0.9371009
650,0.083079317,0.083598754,0.087323296,0.75957121,0.759183673,0.755102041,0.828227571,0.825958702,0.81595092,0.9508028
660,0.083511317,0.085523861,0.08824837,0.760847371,0.759183673,0.744897959,0.828983391,0.825958702,0.807987711,0.964399
670,0.082628305,0.085229247,0.087946599,0.764165391,0.755102041,0.757142857,0.833032165,0.827089337,0.819969743,0.9782588
680,0.082376779,0.084349299,0.087315211,0.763654926,0.757142857,0.755102041,0.831880901,0.827285922,0.817073171,0.9913487
690,0.08217108,0.084568363,0.087030337,0.76748341,0.755102041,0.751020408,0.83427324,0.825581395,0.814589666,1.0054119
700,0.081784766,0.084933379,0.086860738,0.762378765,0.746938776,0.746938776,0.829767782,0.818181818,0.81097561,1.0193163
710,0.081415979,0.084871847,0.086058067,0.760847371,0.748979592,0.757142857,0.829729239,0.819912152,0.818320611,1.0325053
720,0.081423542,0.0847199,0.086221513,0.764165391,0.753061224,0.76122449,0.832061069,0.823357664,0.821374046,1.0457387
730,0.081356824,0.084514141,0.086038522,0.764931087,0.753061224,0.76122449,0.832087511,0.823357664,0.820826953,1.0585757
740,0.081273212,0.084430322,0.08606962,0.766972945,0.751020408,0.76122449,0.832753252,0.820058997,0.81972265,1.0720988
750,0.08122357,0.084420694,0.086286763,0.767993874,0.755102041,0.76122449,0.833972603,0.824046921,0.820276498,1.0858231
760,0.081171828,0.084132817,0.086099408,0.76748341,0.755102041,0.755102041,0.833850082,0.824561404,0.817073171,1.0996084
770,0.081354885,0.084094513,0.085403107,0.764165391,0.755102041,0.748979592,0.830954995,0.823529412,0.811059908,1.1133894
780,0.080839248,0.083625982,0.085146001,0.769014803,0.76122449,0.751020408,0.835663701,0.82919708,0.814589666,1.1275404
790,0.080693143,0.082651234,0.084920187,0.772332823,0.76122449,0.76122449,0.836510264,0.828696925,0.81972265,1.1412788
800,0.080453174,0.082377414,0.084505532,0.771311894,0.76122449,0.759183673,0.836615609,0.82919708,0.819018405,1.1551777
810,0.080407839,0.08228333,0.084538112,0.774374681,0.759183673,0.755102041,0.83921426,0.827988338,0.81595092,1.170237
820,0.080325046,0.081971212,0.084397275,0.774374681,0.759183673,0.759183673,0.839272727,0.827988338,0.819018405,1.1842449
830,0.080546291,0.082503288,0.084690134,0.775140378,0.755102041,0.751020408,0.838378279,0.823529412,0.812307692,1.1976819
840,0.080227029,0.08112862,0.084003551,0.77309852,0.759183673,0.757142857,0.837803321,0.82748538,0.816074189,1.2112548
850,0.080168903,0.081511235,0.083919738,0.773608984,0.759183673,0.759183673,0.83834518,0.827988338,0.817901235,1.2257935
860,0.080315684,0.081748417,0.084250804,0.772843287,0.759183673,0.759183673,0.837827988,0.828488372,0.819018405,1.2403104
870,0.08003865,0.081404922,0.084035583,0.773608984,0.76122449,0.757142857,0.837990868,0.82919708,0.816640986,1.2543776
880,0.080249832,0.081595129,0.084381001,0.771567126,0.759183673,0.757142857,0.837065356,0.827988338,0.817204301,1.2673685
890,0.079693456,0.083155103,0.08439601,0.773608984,0.753061224,0.767346939,0.838815192,0.823871907,0.825153374,1.2810961
900,0.07971609,0.083212633,0.084542525,0.772588055,0.759183673,0.765306122,0.83797054,0.827988338,0.823348694,1.2943298
910,0.07968818,0.08298371,0.084385178,0.773608984,0.757142857,0.765306122,0.838815192,0.826783115,0.82388974,1.3082805
920,0.080404099,0.082648702,0.084867313,0.776671771,0.757142857,0.76122449,0.836966648,0.821589205,0.816326531,1.3218414
930,0.079563715,0.082768651,0.083882935,0.771822358,0.757142857,0.771428571,0.838102137,0.827785818,0.829268293,1.3358548
940,0.079625572,0.082251407,0.08359306,0.771822358,0.753061224,0.767346939,0.837749546,0.824891462,0.826219512,1.349311
950,0.079624707,0.08283095,0.084135488,0.772588055,0.757142857,0.773469388,0.838733032,0.827285922,0.831050228,1.3624308
960,0.079827938,0.081757227,0.08446054,0.777947933,0.767346939,0.769387755,0.840659341,0.832844575,0.826420891,1.3760964
970,0.079432526,0.082802349,0.084166975,0.77309852,0.757142857,0.763265306,0.838978446,0.827285922,0.823708207,1.3913345
980,0.079387764,0.082804225,0.084239975,0.772588055,0.755102041,0.763265306,0.838849702,0.826086957,0.824242424,1.4049973
990,0.079312562,0.081747279,0.084016585,0.772588055,0.767346939,0.76122449,0.837260274,0.834302326,0.820826953,1.4183973
1000,0.079282748,0.081917785,0.083753416,0.773608984,0.765306122,0.763265306,0.838697945,0.833091437,0.823170732,1.4318054
1010,0.079127928,0.083007522,0.083621493,0.774885145,0.753061224,0.759183673,0.841195535,0.826895565,0.821752266,1.4462525
1020,0.079928055,0.083713857,0.08566181,0.772332823,0.748979592,0.748979592,0.83852281,0.823021583,0.813353566,1.4626421
1030,0.079268403,0.082713637,0.0841387,0.770546197,0.753061224,0.751020408,0.838628612,0.825899281,0.81570997,1.4758518
1040,0.07902246,0.081933606,0.083316631,0.771311894,0.753061224,0.763265306,0.838383838,0.825899281,0.824242424,1.4897765
1050,0.078889983,0.081839154,0.083118339,0.771567126,0.755102041,0.76122449,0.837774153,0.826589595,0.821374046,1.503411
1060,0.078770462,0.08190167,0.082927621,0.773864216,0.759183673,0.759183673,0.839318099,0.829479769,0.820121951,1.5171776
1070,0.078766978,0.081880514,0.082767682,0.774885145,0.755102041,0.759183673,0.840101523,0.827089337,0.820668693,1.5308083
1080,0.079457208,0.084663142,0.083906112,0.767993874,0.755102041,0.755102041,0.836892159,0.827089337,0.818731118,1.5443618
1090,0.078878763,0.08145522,0.082839125,0.777182236,0.744897959,0.753061224,0.841070453,0.81910275,0.814701378,1.5574182
1100,0.07870637,0.081703161,0.082951028,0.774885145,0.759183673,0.76122449,0.839519651,0.828488372,0.820826953,1.5704737
1110,0.078398294,0.082223281,0.083225328,0.782542113,0.76122449,0.765306122,0.843554903,0.827687776,0.822804314,1.5837951
1120,0.078241351,0.082224529,0.083149852,0.78330781,0.765306122,0.765306122,0.844931507,0.831625183,0.823348694,1.5991883
1130,0.078141754,0.083185334,0.083592246,0.778458397,0.753061224,0.763265306,0.842009465,0.824891462,0.822629969,1.6143772
1140,0.078269417,0.083893714,0.084022752,0.780755487,0.751020408,0.759183673,0.844016706,0.823188406,0.819571865,1.627228
1150,0.078954274,0.083611962,0.083700402,0.777182236,0.757142857,0.753061224,0.841416894,0.828776978,0.815267176,1.6430004
1160,0.078110852,0.083529198,0.083526001,0.780500255,0.748979592,0.76122449,0.843065693,0.821480406,0.820826953,1.656175
1170,0.078592682,0.085622549,0.084000034,0.778968862,0.755102041,0.76122449,0.842774147,0.826589595,0.821917808,1.670378
1180,0.077922737,0.081769279,0.083015294,0.78101072,0.763265306,0.771428571,0.843144424,0.830409357,0.827692308,1.6837179
1190,0.077911414,0.081869882,0.082773774,0.778458397,0.767346939,0.77755102,0.841316271,0.833333333,0.832565284,1.6982946
