iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.123589479,0.118147611,0.121750245,0.622001021,0.669387755,0.626530612,0.693311245,0.739549839,0.694490818,0.1929579
10,0.113744217,0.113310398,0.115833169,0.666921899,0.665306122,0.648979592,0.80012253,0.798525799,0.786600496,1.892583
20,0.114207074,0.121243677,0.121684597,0.639101582,0.62244898,0.620408163,0.775341595,0.763729246,0.762755102,3.5383986
30,0.101340931,0.098302691,0.102268786,0.70546197,0.710204082,0.714285714,0.786612426,0.791788856,0.785932722,5.3643955
40,0.104338823,0.101972784,0.100381704,0.668453292,0.665306122,0.663265306,0.781790694,0.778378378,0.771784232,7.1595059
50,0.119801443,0.120182716,0.123664683,0.666666667,0.665306122,0.648979592,0.799693252,0.798525799,0.786600496,9.8173318
60,0.107368363,0.110161898,0.110418625,0.66258295,0.669387755,0.63877551,0.789221939,0.791773779,0.769830949,12.0537102
70,0.098623903,0.098357356,0.102577336,0.686319551,0.681632653,0.659183673,0.805384006,0.803526448,0.785070785,13.7458932
80,0.099133854,0.09244356,0.095752848,0.699081164,0.726530612,0.718367347,0.793989167,0.814404432,0.799418605,15.1863896
90,0.100686667,0.092681618,0.098884815,0.665390505,0.708163265,0.683673469,0.757805284,0.791240876,0.766917293,16.5992893
100,0.110271242,0.109688017,0.110935165,0.688871873,0.671428571,0.673469388,0.809322697,0.799001248,0.794344473,18.059926
110,0.103208903,0.098839114,0.104104579,0.694997448,0.695918367,0.691836735,0.794638254,0.798920378,0.782106782,19.550034
120,0.10382973,0.102126834,0.104545017,0.675344564,0.687755102,0.669387755,0.800251256,0.807061791,0.794936709,20.9948351
130,0.0965924,0.098302076,0.09765729,0.699336396,0.685714286,0.685714286,0.810244845,0.801546392,0.795755968,22.3445191
140,0.105049729,0.099426864,0.103091116,0.705717203,0.720408163,0.706122449,0.807480381,0.816107383,0.800554017,23.7785688
150,0.096199636,0.089049946,0.095067369,0.709035222,0.732653061,0.708163265,0.802357836,0.816269285,0.788774003,25.2399887
160,0.096608528,0.087447457,0.095217971,0.706738132,0.746938776,0.708163265,0.799160986,0.825352113,0.790629575,26.5662471
