iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.125891922,0.129451379,0.12866586,0.566870852,0.557142857,0.532653061,0.67333975,0.658267717,0.6336,0.2796844
10,0.116460166,0.113863376,0.115546549,0.62863706,0.675510204,0.663265306,0.697316414,0.732773109,0.715025907,2.7274616
20,0.102866688,0.102285692,0.103305715,0.699591628,0.702040816,0.67755102,0.812370477,0.814249364,0.794270833,5.1265748
30,0.116112358,0.119783323,0.121624588,0.66360388,0.651020408,0.655102041,0.795405154,0.785982478,0.786885246,7.5756057
40,0.106657196,0.107671839,0.107930302,0.672281776,0.673469388,0.657142857,0.779001721,0.780821918,0.765363128,9.9943212
50,0.106079597,0.105061601,0.106132338,0.666666667,0.667346939,0.657142857,0.790772188,0.791826309,0.78238342,12.3933549
60,0.101943335,0.09938888,0.104302806,0.691168964,0.7,0.665306122,0.808058376,0.812260536,0.788659794,14.8327261
70,0.1270309,0.127074017,0.131194402,0.635528331,0.626530612,0.597959184,0.77540107,0.769230769,0.747759283,17.2935764
80,0.126384294,0.127908058,0.131875409,0.602858601,0.579591837,0.573469388,0.721146953,0.701449275,0.693997072,19.7068525
90,0.09914674,0.094771096,0.100586295,0.689892802,0.679591837,0.659183673,0.793963032,0.786394558,0.770288858,22.4143938
100,0.09484892,0.090021485,0.094455792,0.71107708,0.724489796,0.702040816,0.796329615,0.805194805,0.782738095,25.1947828
110,0.097718913,0.092257901,0.097827349,0.672026544,0.691836735,0.66122449,0.796193497,0.805662806,0.784415584,28.0655364
120,0.09904712,0.094027545,0.09597752,0.689127106,0.687755102,0.693877551,0.785714286,0.782978723,0.780058651,31.062856
130,0.096418516,0.093897691,0.093671849,0.699081164,0.693877551,0.702040816,0.794348509,0.786931818,0.786549708,34.3138059
140,0.095803592,0.091923798,0.096201898,0.716436958,0.718367347,0.687755102,0.80940127,0.806179775,0.78111588,37.6689693
150,0.092994124,0.086935521,0.089626007,0.717713119,0.72244898,0.712244898,0.815482149,0.81671159,0.80334728,40.128616
160,0.091426231,0.085771634,0.092066109,0.726391016,0.746938776,0.714285714,0.798647633,0.812121212,0.777777778,42.4544102
170,0.098869601,0.097182104,0.098885081,0.683256764,0.671428571,0.665306122,0.807148407,0.799501868,0.792929293,44.7239076
180,0.094072275,0.087546115,0.090983062,0.715926493,0.726530612,0.720408163,0.793468176,0.802359882,0.790199081,47.1306049
190,0.098405058,0.095964185,0.101780544,0.690148035,0.691836735,0.673469388,0.80208673,0.802614379,0.787798408,49.4568319
200,0.101149813,0.09710417,0.09950581,0.698315467,0.683673469,0.687755102,0.809416317,0.8,0.798948752,51.9337526
210,0.089773056,0.084994632,0.088521906,0.733792751,0.740816327,0.718367347,0.823250297,0.826739427,0.805084746,54.2677586
220,0.091046402,0.08478621,0.089476085,0.728688106,0.728571429,0.724489796,0.815419344,0.815020862,0.802919708,56.6879875
230,0.089431142,0.085328106,0.089284627,0.725880551,0.726530612,0.706122449,0.820641283,0.818918919,0.798882682,59.1132408
240,0.093357833,0.09051789,0.093275595,0.71898928,0.734693878,0.708163265,0.816469412,0.823369565,0.802213001,61.6086393
250,0.093122442,0.090993564,0.095289976,0.71337417,0.710204082,0.695918367,0.812426925,0.808108108,0.796725784,64.0602707
260,0.095614464,0.089565244,0.091907805,0.702143951,0.728571429,0.693877551,0.771847507,0.795698925,0.754901961,66.4511541
270,0.095649179,0.091894579,0.096419031,0.704185809,0.716326531,0.7,0.787144169,0.795888399,0.779610195,68.7834784
280,0.087717306,0.084959591,0.08842352,0.734558448,0.742857143,0.724489796,0.818181818,0.822535211,0.800590842,71.040774
290,0.089605751,0.086101345,0.090885184,0.745278203,0.751020408,0.708163265,0.818611414,0.82111437,0.778979907,73.3749522
300,0.088132208,0.084125151,0.088423248,0.738386932,0.732653061,0.716326531,0.826535793,0.819310345,0.804500703,75.8490181
310,0.093380877,0.090817872,0.093603581,0.706227667,0.7,0.693877551,0.814802896,0.808842653,0.801587302,78.202142
320,0.088523676,0.087425215,0.089932122,0.737110771,0.728571429,0.720408163,0.822719449,0.812411848,0.804564907,81.1241501
330,0.087870267,0.086059628,0.089004988,0.729198571,0.724489796,0.714285714,0.82313719,0.817320704,0.804469274,83.8731672
340,0.086734606,0.083490894,0.086143794,0.738386932,0.73877551,0.736734694,0.822572269,0.818696884,0.810014728,86.7059363
350,0.088737845,0.084682098,0.087962669,0.736600306,0.734693878,0.740816327,0.820146392,0.815864023,0.813509545,89.5516187
360,0.089569028,0.089026516,0.090533349,0.734047984,0.730612245,0.718367347,0.821207962,0.815642458,0.802292264,92.6078394
370,0.087790651,0.081786652,0.085063662,0.729453803,0.73877551,0.724489796,0.818368746,0.82320442,0.80463097,95.4925836
380,0.090424623,0.086532328,0.087535357,0.7223073,0.716326531,0.73877551,0.814903028,0.807745505,0.816091954,97.933775
390,0.093047744,0.092501111,0.091813297,0.715160796,0.708163265,0.687755102,0.819709208,0.812581913,0.798948752,100.3424581
400,0.091107474,0.088890051,0.090659481,0.724349158,0.708163265,0.716326531,0.812173913,0.798874824,0.795888399,102.6754824
410,0.087809298,0.085756539,0.087868452,0.740684022,0.726530612,0.742857143,0.817921147,0.805232558,0.806153846,105.0599105
420,0.088813233,0.085947371,0.086757716,0.724859622,0.734693878,0.724489796,0.816291752,0.819944598,0.802919708,107.3937751
430,0.089880823,0.085245482,0.090295001,0.730729964,0.746938776,0.728571429,0.812710811,0.82234957,0.799396682,109.8121675
440,0.087115489,0.087114373,0.087615098,0.738386932,0.72244898,0.730612245,0.823306326,0.811111111,0.808695652,112.2144539
450,0.08914601,0.087680749,0.088502515,0.730474732,0.716326531,0.720408163,0.824409711,0.812920592,0.811034483,114.5737638
460,0.087788048,0.083576841,0.088302356,0.738897397,0.736734694,0.728571429,0.820809249,0.818053597,0.804123711,116.8846239
470,0.088006152,0.085403558,0.086692308,0.727922409,0.720408163,0.726530612,0.821977288,0.814111262,0.811797753,119.2218391
480,0.088724436,0.08487533,0.085832789,0.735834609,0.728571429,0.726530612,0.824902724,0.817558299,0.809116809,121.5661967
490,0.086315577,0.084422906,0.086212011,0.745533435,0.742857143,0.746938776,0.828369771,0.823529412,0.82183908,123.9055538
500,0.087822485,0.084934525,0.087503699,0.734558448,0.748979592,0.724489796,0.812002892,0.820437956,0.79389313,126.2826569
510,0.088286048,0.084806531,0.088912535,0.738642164,0.720408163,0.714285714,0.824597465,0.80998613,0.798270893,128.5143957
520,0.0881734,0.08755242,0.090320438,0.728432874,0.734693878,0.712244898,0.803327172,0.805970149,0.778649922,130.8258071
530,0.088572511,0.084986648,0.08909465,0.745788668,0.753061224,0.734693878,0.826117318,0.828368794,0.810495627,133.2153366
