iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.146851074,0.156780071,0.148751202,0.445890761,0.430612245,0.459183673,0.578036929,0.557844691,0.583987441,0.0015589
10,0.152770991,0.164655673,0.155131288,0.413986728,0.387755102,0.420408163,0.546961326,0.519230769,0.549206349,0.0145829
20,0.157824349,0.172123804,0.158573088,0.389739663,0.344897959,0.37755102,0.475082327,0.437828371,0.456327986,0.03002
30,0.160876194,0.176555022,0.16428647,0.398162328,0.355102041,0.389795918,0.515811088,0.476821192,0.505785124,0.0443548
40,0.157606018,0.173114895,0.16109528,0.392036753,0.353061224,0.385714286,0.508663366,0.465430017,0.507364975,0.0585854
50,0.146954194,0.160631502,0.151015671,0.474987238,0.426530612,0.471428571,0.615585872,0.573596358,0.616296296,0.0734227
60,0.146397452,0.160043942,0.150483138,0.471924451,0.412244898,0.467346939,0.608810739,0.552795031,0.609865471,0.0896876
70,0.14485538,0.158167551,0.148919303,0.475242471,0.426530612,0.467346939,0.608679102,0.569678407,0.603945372,0.1107884
80,0.142199497,0.155200201,0.147286826,0.473200613,0.416326531,0.467346939,0.60953462,0.557275542,0.603945372,0.1274356
90,0.131859305,0.141060733,0.136223477,0.501276161,0.434693878,0.481632653,0.610446571,0.551053485,0.592948718,0.1430265
100,0.129984789,0.137518735,0.133974135,0.521949974,0.473469388,0.5,0.631081347,0.589171975,0.612954186,0.1565249
110,0.1298021,0.136375985,0.133222455,0.516845329,0.475510204,0.506122449,0.622682878,0.591414944,0.612179487,0.1718593
120,0.128651768,0.135042563,0.13210052,0.523481368,0.512244898,0.512244898,0.621528482,0.618819777,0.616372392,0.1856459
130,0.125680167,0.130707851,0.128326893,0.541092394,0.536734694,0.565306122,0.645364892,0.650231125,0.66874028,0.199183
140,0.11561635,0.119667135,0.118983077,0.622001021,0.628571429,0.618367347,0.731945701,0.740740741,0.727802038,0.2130586
150,0.115129308,0.118332895,0.118046535,0.618938234,0.624489796,0.614285714,0.728100528,0.737142857,0.723279649,0.2266886
160,0.110332285,0.113961649,0.114897166,0.65798877,0.642857143,0.634693878,0.766875435,0.761255116,0.746099291,0.2417717
170,0.109305131,0.111117689,0.112491242,0.652118428,0.659183673,0.648979592,0.755340154,0.765778401,0.750724638,0.2552399
180,0.108971681,0.110685351,0.112074364,0.654160286,0.663265306,0.651020408,0.755811858,0.769230769,0.751814224,0.2687065
190,0.108244951,0.109963752,0.111412732,0.659775396,0.657142857,0.63877551,0.761068292,0.766016713,0.744588745,0.2837611
200,0.107775608,0.111806976,0.11242251,0.675089331,0.651020408,0.651020408,0.781758958,0.768606225,0.763485477,0.2980796
210,0.105227352,0.108666591,0.109572156,0.679683512,0.665306122,0.655102041,0.787035466,0.780160858,0.768175583,0.311356
220,0.10465954,0.107559546,0.109346933,0.685043389,0.671428571,0.651020408,0.792115903,0.783892617,0.766073871,0.3245308
230,0.10482508,0.108422161,0.109633285,0.686064319,0.659183673,0.653061224,0.792299899,0.777036048,0.76519337,0.3392917
240,0.102692372,0.104877169,0.107216363,0.690658499,0.673469388,0.646938776,0.794506612,0.786096257,0.762035763,0.3528167
250,0.101719154,0.10403715,0.106615257,0.695507912,0.683673469,0.665306122,0.7985818,0.792503347,0.773480663,0.3668103
260,0.101313549,0.103952237,0.105859838,0.693210822,0.681632653,0.663265306,0.796753466,0.790322581,0.771784232,0.3811915
270,0.100432811,0.102519064,0.104833291,0.692700357,0.697959184,0.653061224,0.795585739,0.800539084,0.763888889,0.3946879
280,0.099252029,0.101100613,0.103654955,0.705206738,0.708163265,0.669387755,0.807852271,0.809078772,0.777472527,0.4083802
290,0.10232943,0.100893566,0.104305897,0.680959673,0.689795918,0.66122449,0.778447359,0.788888889,0.760115607,0.4216663
300,0.095853861,0.096659896,0.099450289,0.71107708,0.702040816,0.675510204,0.809939557,0.803763441,0.778859527,0.4355502
310,0.095698302,0.097001605,0.099346009,0.711587545,0.706122449,0.673469388,0.810275353,0.806451613,0.776536313,0.4490437
320,0.095264942,0.096240507,0.098820441,0.714650332,0.7,0.673469388,0.81210084,0.802684564,0.776536313,0.4626296
330,0.094991445,0.097178294,0.099126915,0.721286371,0.710204082,0.683673469,0.814285714,0.808108108,0.781382228,0.4761152
340,0.094420103,0.09674846,0.09904507,0.72460439,0.708163265,0.689795918,0.815018001,0.804911323,0.784090909,0.4903527
350,0.094359062,0.096370732,0.098927266,0.72690148,0.708163265,0.687755102,0.816214359,0.803840878,0.782361309,0.503409
360,0.093894882,0.09600571,0.098464058,0.725370087,0.708163265,0.702040816,0.815942525,0.805442177,0.792613636,0.5174702
370,0.093234769,0.095488687,0.097833075,0.733792751,0.716326531,0.689795918,0.818450827,0.806675939,0.782857143,0.5320111
380,0.092387061,0.094803893,0.097009502,0.739918326,0.714285714,0.693877551,0.821259428,0.804469274,0.784482759,0.5473931
390,0.092049817,0.09458706,0.096893271,0.741449719,0.72244898,0.697959184,0.822187116,0.80952381,0.786743516,0.5622941
400,0.091909173,0.094658749,0.096678788,0.740173558,0.710204082,0.706122449,0.823018081,0.8033241,0.793696275,0.5768007
410,0.091616161,0.09536016,0.097180158,0.736855539,0.714285714,0.708163265,0.823428669,0.809264305,0.797736917,0.5899024
420,0.091036474,0.09402197,0.096378086,0.741449719,0.72244898,0.704081633,0.824831402,0.812672176,0.793152639,0.6057407
430,0.090623914,0.093402415,0.095660721,0.745278203,0.724489796,0.708163265,0.827036395,0.813793103,0.795422031,0.6207915
440,0.089928977,0.091674963,0.09438777,0.744002042,0.728571429,0.695918367,0.824803493,0.815533981,0.784992785,0.6357936
