iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.129490038,0.125564799,0.12617718,0.528330781,0.532653061,0.542857143,0.620065789,0.622734761,0.615120275,0.0017217
10,0.129131146,0.125691295,0.125143446,0.529606942,0.53877551,0.536734694,0.605775401,0.610344828,0.59391771,0.0197969
20,0.127701049,0.123457153,0.123433372,0.537008678,0.553061224,0.542857143,0.619706499,0.629441624,0.607017544,0.0362301
30,0.126324359,0.122371439,0.122163389,0.550280755,0.559183673,0.569387755,0.637895602,0.642384106,0.640545145,0.0544289
40,0.113750222,0.109454968,0.108804193,0.639867279,0.653061224,0.667346939,0.736507937,0.74702381,0.748068006,0.0723534
50,0.116611095,0.110089656,0.1112395,0.615620214,0.644897959,0.618367347,0.704937304,0.728125,0.698872786,0.0888335
60,0.116723578,0.109617082,0.111018628,0.614854518,0.653061224,0.636734694,0.704291593,0.736842105,0.715654952,0.1058305
70,0.114818688,0.106979862,0.108947602,0.625063808,0.657142857,0.636734694,0.714591024,0.743119266,0.719242902,0.1220754
80,0.11089775,0.10480404,0.106851503,0.652118428,0.657142857,0.663265306,0.759399823,0.763380282,0.759825328,0.1388228
90,0.106824527,0.103543904,0.10546952,0.678662583,0.675510204,0.665306122,0.78259368,0.781893004,0.766381766,0.1555657
100,0.103979957,0.101579432,0.102690955,0.690148035,0.683673469,0.679591837,0.786493141,0.783216783,0.77080292,0.1743811
110,0.103283036,0.10189519,0.102167779,0.693210822,0.689795918,0.687755102,0.790519345,0.788888889,0.777939042,0.19298
120,0.101764353,0.098696448,0.100198674,0.698825932,0.695918367,0.695918367,0.793922459,0.79334258,0.783114993,0.2128569
130,0.101814937,0.09897383,0.100190189,0.697039306,0.687755102,0.689795918,0.79251879,0.78779473,0.777777778,0.2418372
140,0.100427358,0.096516271,0.099898605,0.701633486,0.7,0.687755102,0.795092025,0.794405594,0.775330396,0.2641683
150,0.099582726,0.096436049,0.099297297,0.701633486,0.708163265,0.697959184,0.797435453,0.801664355,0.783625731,0.2904019
160,0.096558888,0.09230317,0.095134318,0.716436958,0.72244898,0.710204082,0.806950478,0.811634349,0.793604651,0.318381
170,0.095694306,0.090772978,0.094574236,0.717713119,0.726530612,0.710204082,0.806236861,0.81232493,0.791788856,0.341731
180,0.093503112,0.089540893,0.092640682,0.734558448,0.72244898,0.726530612,0.815994338,0.808988764,0.799401198,0.3612635
190,0.092095421,0.089187504,0.091618015,0.737876468,0.716326531,0.746938776,0.819412696,0.804500703,0.816568047,0.3800905
200,0.091815892,0.088706533,0.091363365,0.739663093,0.716326531,0.742857143,0.821303434,0.805049088,0.815249267,0.4008789
210,0.091557457,0.089302411,0.092010278,0.736855539,0.716326531,0.72244898,0.824271348,0.810368349,0.805157593,0.4197466
220,0.091254086,0.089697949,0.092223842,0.738642164,0.718367347,0.716326531,0.822959889,0.808333333,0.798842258,0.4376106
230,0.090072536,0.089077032,0.090858006,0.735834609,0.72244898,0.726530612,0.818643771,0.810055866,0.804093567,0.4564302
240,0.08957555,0.088767053,0.091264449,0.740173558,0.72244898,0.730612245,0.824058071,0.81369863,0.808139535,0.4775343
250,0.088888078,0.087836149,0.090603903,0.7460439,0.728571429,0.736734694,0.827943974,0.81604426,0.812227074,0.4953337
260,0.088857128,0.087885365,0.090532406,0.745022971,0.730612245,0.736734694,0.827192527,0.817174515,0.812772134,0.5142596
270,0.088325443,0.08822901,0.090216193,0.746809597,0.726530612,0.728571429,0.8271777,0.814404432,0.805839416,0.5323374
280,0.088058197,0.08799098,0.089934196,0.748085758,0.730612245,0.72244898,0.828258222,0.817679558,0.801749271,0.5508418
290,0.087377989,0.087714831,0.089444997,0.750638081,0.730612245,0.726530612,0.829761282,0.817174515,0.805232558,0.568733
300,0.087414465,0.087817285,0.089453506,0.749617152,0.728571429,0.734693878,0.829598749,0.815533981,0.811046512,0.5909929
310,0.086949505,0.087691849,0.08943479,0.755232261,0.730612245,0.744897959,0.832137231,0.815642458,0.816446402,0.6109166
320,0.087151289,0.087846204,0.090251711,0.754977029,0.732653061,0.744897959,0.831045407,0.815752461,0.815905744,0.6291072
330,0.086559615,0.088052189,0.089738228,0.756763655,0.732653061,0.740816327,0.833711394,0.817802503,0.813509545,0.6475631
340,0.086524454,0.088017529,0.089666315,0.757018887,0.732653061,0.740816327,0.833798883,0.817802503,0.813509545,0.6658796
350,0.086608197,0.088292669,0.089941071,0.756763655,0.726530612,0.73877551,0.833827376,0.813888889,0.812316716,0.6838383
360,0.08615437,0.087603163,0.089176217,0.759315978,0.732653061,0.740816327,0.834183225,0.817294282,0.812407681,0.7018949
370,0.085998635,0.087291974,0.088536072,0.764675855,0.746938776,0.765306122,0.83441092,0.821325648,0.824427481,0.719506
380,0.087260011,0.091298073,0.090059944,0.751148545,0.726530612,0.732653061,0.831344058,0.815426997,0.808759124,0.739255
390,0.085516434,0.087091858,0.08775913,0.760081674,0.732653061,0.751020408,0.833096591,0.814710042,0.81626506,0.7587041
400,0.085505756,0.087140443,0.087938873,0.752169474,0.724489796,0.724489796,0.828050292,0.809590973,0.799405646,0.7782572
410,0.085458422,0.086447462,0.08742348,0.754466565,0.746938776,0.742857143,0.827783745,0.82234957,0.810810811,0.7984057
420,0.085644209,0.086745636,0.087435989,0.75957121,0.73877551,0.748979592,0.830758175,0.816618911,0.814479638,0.8168007
430,0.085239533,0.087371267,0.088465747,0.756763655,0.73877551,0.748979592,0.828935559,0.817142857,0.815592204,0.8335163
440,0.084889248,0.08645747,0.087209056,0.758039816,0.732653061,0.734693878,0.830593281,0.812589413,0.804804805,0.8493352
450,0.084472111,0.085958247,0.086878607,0.763144461,0.734693878,0.742857143,0.833512738,0.814285714,0.809090909,0.8645924
460,0.084429717,0.085974667,0.086935512,0.765441552,0.744897959,0.751020408,0.834622998,0.820143885,0.81402439,0.8795994
470,0.084131538,0.085500796,0.086784157,0.766972945,0.751020408,0.753061224,0.835228298,0.8252149,0.814132104,0.8939443
480,0.084030922,0.085407688,0.086426955,0.766972945,0.748979592,0.757142857,0.834930392,0.822510823,0.816640986,0.9082511
490,0.084488151,0.085045388,0.086816126,0.765952016,0.748979592,0.76122449,0.834566119,0.823529412,0.81972265,0.9234123
500,0.083863648,0.085529311,0.086566814,0.765696784,0.742857143,0.755102041,0.833393829,0.817919075,0.814814815,0.9372999
510,0.083513766,0.085708105,0.087186093,0.766462481,0.744897959,0.759183673,0.83250961,0.818049491,0.815625,0.9510861
520,0.083387749,0.085328136,0.087023577,0.766462481,0.742857143,0.763265306,0.831708663,0.815789474,0.818181818,0.965029
530,0.08312114,0.083970181,0.086503105,0.771056662,0.746938776,0.759183673,0.835201176,0.819241983,0.815047022,0.9788402
540,0.082714448,0.083567636,0.085811201,0.768504339,0.755102041,0.751020408,0.831756631,0.82300885,0.805732484,0.992699
